education,gender,byear,employment,hhinc,pol_ideo,pol_pident,marr_status,soc_dist6,soc_dist7,age,mask_binary,iso_binary,gender_group,education_group,income_group,ideo_group,party_group,employment_group,marital_group
Some college,Female,1964.0,Self-employed,"$10,000 - $19,999",Liberal,"Independent, but lean Democrat",Separated,11.0,10.0,56.0,1,1,Female,Some college or less,Less than 50k,Liberal,Other or independent,Working,Not married
Some college,Female,1970.0,"Unemployed, looking for work","$60,000 - $69,999",Conservative,Republican,Married or in a domestic partnership,10.0,11.0,50.0,1,1,Female,Some college or less,50k to 99k,Conservative,Republican,Not working,Married
4-year degree,Female,1978.0,Employed full-time in an organization,"$125,000 or more",Liberal,Democrat,Married or in a domestic partnership,8.0,6.0,42.0,1,1,Female,College degree,100k+,Liberal,Democrat,Working,Married
4-year degree,Male,1959.0,Retired,"$70,000 - $79,999",Moderate; middle of the road,Other,Married or in a domestic partnership,5.0,9.0,61.0,1,0,Male,College degree,50k to 99k,Moderate,Other or independent,Not working,Married
4-year degree,Female,1972.0,Employed part-time in an organization,"$80,000 - $89,999",Extremely liberal,Democrat,Married or in a domestic partnership,10.0,10.0,48.0,1,1,Female,College degree,50k to 99k,Liberal,Democrat,Working,Married
High school graduate,Female,1978.0,Employed full-time in an organization,"$60,000 - $69,999",Slightly liberal,"Independent, but lean Democrat",Married or in a domestic partnership,8.0,10.0,42.0,1,1,Female,Some college or less,50k to 99k,Liberal,Other or independent,Working,Married
Some college,Female,1987.0,Employed full-time in an organization,"$60,000 - $69,999",Liberal,"Independent, but lean Democrat",Married or in a domestic partnership,8.0,4.0,33.0,0,1,Female,Some college or less,50k to 99k,Liberal,Other or independent,Working,Married
Professional degree,Female,1964.0,"Unemployed, not looking for work","$125,000 or more",Slightly liberal,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,56.0,1,1,Female,Advanced degree,100k+,Liberal,Other or independent,Not working,Married
4-year degree,Male,1995.0,Currently unable to work,"$30,000 - $39,999",Moderate; middle of the road,Democrat,"Single, never married",11.0,11.0,25.0,1,1,Male,College degree,Less than 50k,Moderate,Democrat,Not working,Not married
Some college,Male,1981.0,Employed full-time in an organization,"$80,000 - $89,999",Slightly liberal,"Independent, but lean Democrat",Married or in a domestic partnership,9.0,1.0,39.0,0,1,Male,Some college or less,50k to 99k,Liberal,Other or independent,Working,Married
2-year degree,Male,1966.0,Employed full-time in an organization,"$50,000 - $59,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,11.0,11.0,54.0,1,1,Male,College degree,50k to 99k,Moderate,Other or independent,Working,Married
High school graduate,Female,1965.0,Self-employed,"$100,000 - $109,999",Conservative,Republican,Married or in a domestic partnership,11.0,9.0,55.0,1,1,Female,Some college or less,100k+,Conservative,Republican,Working,Married
Professional degree,Male,1984.0,Employed full-time in an organization,"$90,000 - $99,999",Moderate; middle of the road,"Independent, but lean Republican","Single, never married",10.0,10.0,36.0,1,1,Male,Advanced degree,50k to 99k,Moderate,Other or independent,Working,Not married
Professional degree,Female,1977.0,Employed part-time in an organization,"$70,000 - $79,999",Extremely conservative,Republican,Married or in a domestic partnership,5.0,10.0,43.0,1,0,Female,Advanced degree,50k to 99k,Conservative,Republican,Working,Married
Some college,Female,1956.0,Employed part-time in an organization,"$50,000 - $59,999",Conservative,"Independent, but lean Republican",Divorced,11.0,11.0,64.0,1,1,Female,Some college or less,50k to 99k,Conservative,Other or independent,Working,Not married
High school graduate,Female,1956.0,Self-employed,"$40,000 - $49,999",Moderate; middle of the road,Other,Widowed,9.0,11.0,64.0,1,1,Female,Some college or less,Less than 50k,Moderate,Other or independent,Working,Not married
4-year degree,Male,1984.0,Employed full-time in an organization,"$50,000 - $59,999",Liberal,Independent with no party preference,"Single, never married",11.0,3.0,36.0,0,1,Male,College degree,50k to 99k,Liberal,Other or independent,Working,Not married
4-year degree,Female,1994.0,Self-employed,"$50,000 - $59,999",Extremely liberal,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,26.0,1,1,Female,College degree,50k to 99k,Liberal,Other or independent,Working,Married
4-year degree,Female,1970.0,Employed full-time in an organization,"$40,000 - $49,999",Slightly conservative,Republican,Widowed,9.0,11.0,50.0,1,1,Female,College degree,Less than 50k,Conservative,Republican,Working,Not married
Professional degree,Male,1987.0,Employed full-time in an organization,"$125,000 or more",Moderate; middle of the road,Independent with no party preference,"Single, never married",8.0,8.0,33.0,1,1,Male,Advanced degree,100k+,Moderate,Other or independent,Working,Not married
4-year degree,Female,1996.0,Currently unable to work,"$40,000 - $49,999",Liberal,Democrat,"Single, never married",11.0,11.0,24.0,1,1,Female,College degree,Less than 50k,Liberal,Democrat,Not working,Not married
4-year degree,Male,1986.0,Employed full-time in an organization,"$60,000 - $69,999",Moderate; middle of the road,Democrat,Divorced,11.0,11.0,34.0,1,1,Male,College degree,50k to 99k,Moderate,Democrat,Working,Not married
4-year degree,Male,1978.0,Employed full-time in an organization,"$70,000 - $79,999",Slightly conservative,"Independent, but lean Republican",Divorced,11.0,11.0,42.0,1,1,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Not married
Professional degree,Male,1985.0,Employed full-time in an organization,"$50,000 - $59,999",Liberal,Democrat,"Single, never married",11.0,10.0,35.0,1,1,Male,Advanced degree,50k to 99k,Liberal,Democrat,Working,Not married
4-year degree,Female,1990.0,Employed full-time in an organization,"$50,000 - $59,999",Extremely conservative,Republican,Married or in a domestic partnership,9.0,10.0,30.0,1,1,Female,College degree,50k to 99k,Conservative,Republican,Working,Married
4-year degree,Male,1997.0,Employed full-time in an organization,"$100,000 - $109,999",Slightly liberal,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,23.0,1,1,Male,College degree,100k+,Liberal,Other or independent,Working,Married
4-year degree,Male,1989.0,Employed full-time in an organization,"$100,000 - $109,999",Moderate; middle of the road,Democrat,Married or in a domestic partnership,9.0,3.0,31.0,0,1,Male,College degree,100k+,Moderate,Democrat,Working,Married
4-year degree,Male,1996.0,"Unemployed, looking for work","Less than $10,000",Liberal,Democrat,"Single, never married",9.0,9.0,24.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Not working,Not married
4-year degree,Female,1990.0,Employed full-time in an organization,"$70,000 - $79,999",Liberal,Democrat,Married or in a domestic partnership,4.0,3.0,30.0,0,0,Female,College degree,50k to 99k,Liberal,Democrat,Working,Married
4-year degree,Male,1996.0,Employed part-time in an organization,"$10,000 - $19,999",Liberal,Democrat,"Single, never married",8.0,7.0,24.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Working,Not married
4-year degree,Male,1990.0,Employed full-time in an organization,"$40,000 - $49,999",Liberal,Democrat,"Single, never married",11.0,9.0,30.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Working,Not married
4-year degree,Male,1984.0,Employed full-time in an organization,"$40,000 - $49,999",Moderate; middle of the road,Independent with no party preference,"Single, never married",2.0,2.0,36.0,0,0,Male,College degree,Less than 50k,Moderate,Other or independent,Working,Not married
2-year degree,Female,1970.0,Employed part-time in an organization,"$20,000 - $29,999",Extremely liberal,Democrat,Divorced,10.0,9.0,50.0,1,1,Female,College degree,Less than 50k,Liberal,Democrat,Working,Not married
4-year degree,Male,1991.0,Employed full-time in an organization,"$50,000 - $59,999",Slightly liberal,"Independent, but lean Democrat","Single, never married",11.0,8.0,29.0,1,1,Male,College degree,50k to 99k,Liberal,Other or independent,Working,Not married
2-year degree,Female,1990.0,Employed full-time in an organization,"$30,000 - $39,999",Moderate; middle of the road,Independent with no party preference,"Single, never married",11.0,11.0,30.0,1,1,Female,College degree,Less than 50k,Moderate,Other or independent,Working,Not married
2-year degree,Male,1976.0,Employed full-time in an organization,"$30,000 - $39,999",Liberal,Democrat,Married or in a domestic partnership,11.0,11.0,44.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Working,Married
Professional degree,Male,1973.0,Employed full-time in an organization,"$70,000 - $79,999",Moderate; middle of the road,Independent with no party preference,Married or in a domestic partnership,11.0,11.0,47.0,1,1,Male,Advanced degree,50k to 99k,Moderate,Other or independent,Working,Married
Some college,Female,1974.0,Currently unable to work,"$20,000 - $29,999",Liberal,Democrat,"Single, never married",11.0,5.0,46.0,0,1,Female,Some college or less,Less than 50k,Liberal,Democrat,Not working,Not married
Professional degree,Male,1966.0,Employed full-time in an organization,"$125,000 or more",Liberal,Democrat,Married or in a domestic partnership,11.0,11.0,54.0,1,1,Male,Advanced degree,100k+,Liberal,Democrat,Working,Married
4-year degree,Female,1983.0,Employed full-time in an organization,"$110,000 - $124,999",Liberal,"Independent, but lean Democrat",Married or in a domestic partnership,11.0,11.0,37.0,1,1,Female,College degree,100k+,Liberal,Other or independent,Working,Married
4-year degree,Male,1970.0,Employed full-time in an organization,"$40,000 - $49,999",Moderate; middle of the road,"Independent, but lean Democrat","Single, never married",7.0,4.0,50.0,0,1,Male,College degree,Less than 50k,Moderate,Other or independent,Working,Not married
Some college,Male,1990.0,Employed full-time in an organization,"$60,000 - $69,999",Liberal,Democrat,"Single, never married",10.0,9.0,30.0,1,1,Male,Some college or less,50k to 99k,Liberal,Democrat,Working,Not married
Professional degree,Female,1967.0,"Unemployed, not looking for work","$40,000 - $49,999",Moderate; middle of the road,"Independent, but lean Democrat",Married or in a domestic partnership,10.0,9.0,53.0,1,1,Female,Advanced degree,Less than 50k,Moderate,Other or independent,Not working,Married
4-year degree,Female,1995.0,Employed full-time in an organization,"$60,000 - $69,999",Moderate; middle of the road,"Independent, but lean Democrat","Single, never married",10.0,6.0,25.0,1,1,Female,College degree,50k to 99k,Moderate,Other or independent,Working,Not married
4-year degree,Male,1983.0,Employed full-time in an organization,"$60,000 - $69,999",Slightly conservative,"Independent, but lean Republican",Married or in a domestic partnership,9.0,4.0,37.0,0,1,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Married
4-year degree,Male,1984.0,"Unemployed, looking for work","$30,000 - $39,999",Extremely liberal,Democrat,"Single, never married",9.0,9.0,36.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Not working,Not married
High school graduate,Male,1993.0,Self-employed,"Less than $10,000",Liberal,Democrat,Divorced,9.0,11.0,27.0,1,1,Male,Some college or less,Less than 50k,Liberal,Democrat,Working,Not married
2-year degree,Female,1997.0,Student,"$60,000 - $69,999",Conservative,"Independent, but lean Republican",Married or in a domestic partnership,11.0,11.0,23.0,1,1,Female,College degree,50k to 99k,Conservative,Other or independent,Not working,Married
4-year degree,Male,1955.0,Self-employed,"$10,000 - $19,999",Slightly liberal,Independent with no party preference,Divorced,11.0,11.0,65.0,1,1,Male,College degree,Less than 50k,Liberal,Other or independent,Working,Not married
4-year degree,Male,1998.0,Employed full-time in an organization,"Less than $10,000",Conservative,Republican,Married or in a domestic partnership,2.0,6.0,22.0,1,0,Male,College degree,Less than 50k,Conservative,Republican,Working,Married
4-year degree,Male,1949.0,Retired,"$30,000 - $39,999",Liberal,Democrat,Widowed,9.0,10.0,71.0,1,1,Male,College degree,Less than 50k,Liberal,Democrat,Not working,Not married
High school graduate,Female,1994.0,Employed full-time in an organization,"$50,000 - $59,999",Liberal,Democrat,Married or in a domestic partnership,10.0,7.0,26.0,1,1,Female,Some college or less,50k to 99k,Liberal,Democrat,Working,Married
4-year degree,Female,1962.0,Employed full-time in an organization,"$50,000 - $59,999",Liberal,Democrat,Divorced,10.0,11.0,58.0,1,1,Female,College degree,50k to 99k,Liberal,Democrat,Working,Not married
2-year degree,Male,1990.0,Employed full-time in an organization,"$30,000 - $39,999",Liberal,Independent with no party preference,Married or in a domestic partnership,11.0,11.0,30.0,1,1,Male,College degree,Less than 50k,Liberal,Other or independent,Working,Married
Some college,Male,1977.0,Employed full-time in an organization,"$30,000 - $39,999",Slightly liberal,"Independent, but lean Democrat",Divorced,11.0,11.0,43.0,1,1,Male,Some college or less,Less than 50k,Liberal,Other or independent,Working,Not married
2-year degree,Male,1979.0,Employed full-time in an organization,"$70,000 - $79,999",Extremely conservative,"Independent, but lean Republican","Single, never married",11.0,11.0,41.0,1,1,Male,College degree,50k to 99k,Conservative,Other or independent,Working,Not married
2-year degree,Female,1981.0,Employed full-time in an organization,"$20,000 - $29,999",Slightly conservative,Republican,Married or in a domestic partnership,3.0,1.0,39.0,0,0,Female,College degree,Less than 50k,Conservative,Republican,Working,Married
